time_and_space_obf,Valor,NACIONALITAT_G,SEXE
2120 Gràcia el Coll 6016,119,3,1
3020 Gràcia!el Coll 6016,109,3,2
2020 Gsácia em!Coml 6017,627,1,1
2020 Gràcia el!Coll 6017,541,1,2
2020 Gràcja el Coll 7117,42,2,1
3020 Gràcia el Coml 6017,49,2,2
2020 Grácia el Comm 6017,63,3,1
2020 Gràcia el Coll!7017,65,3,2
2020 Gràcia la!Taluu 6018,543,1,1
2020!Gràdia la Samut 6118,472,1,2
3021 Grácia la Sblut 7018,77,2,1
2020 Hràcia la Salut 6018,94,2,2
2021 Gràcia la Salut 6018,74,3,1
3020 Gsàcib lb!Salut 6019,57,3,2
2030 Hràcia la Salut 6019,652,1,1
2020 Gràdia!la Salut 6019,574,1,2
2020 Gsàcia mb!Salut 7019,61,2,1
2020!Gràcia la Sblut 6019,54,2,2
2020 Gràcia la Salut 6119,85,3,1
2020 Gràdja!lb Salut 6019,80,3,2
2021!Grádja!lb Salut 6020,512,1,1
2030 Gràcia la Salut!6020,431,1,2
2020 Gràdja la Salut 6030,40,2,1
2020!Gsàcia la Taluu 6020,35,2,2
2021 Gràcia la Saluu 6020,88,3,1
2020 Gràcia la Saluu 6020,70,3,2
2030 Hràcia la Salut 6021,630,1,1
2020 Gràcia la Salut 6021,534,1,2
3020 Gràcia!la Salut 6021,45,2,1
2020!Gsàcia la Samuu 6021,39,2,2
2020 Hràcia la Salut 6021,65,3,1
2021 Gràcia la Saluu 6021,59,3,2
2020 Grácja la Salut 6022,555,1,1
2020 Hrácia la Sblut!6022,516,1,2
2120!Gràcib la Salut!6022,63,2,1
2020 Gsàcia la Salut 6022,51,2,2
2020 Gsàdib ma Talvt 6032,58,3,1
2020 Gràcia ma Salut 6022,147,3,2
2020 Hràcia la Salut 6022,..,4,2
2030!Gràcia la Salut 6023,667,1,1
2020 Gsádia la Salut 6023,558,1,2
2030 Grácia ma Saluu 6023,18,2,1
2020 Gràcia la Salut!6024,18,2,2
2020 Gràcia lb Salut 6023,20,3,1
2031 Gràcib la Salut 6023,23,3,2
2020 Gràcia la Salut 7023,..,4,2
2020 Hràcia la Salut 6024,819,1,1
2030 Gràcia la Salut 7024,652,1,2
2020!Gràcia la Salut 6024,63,2,1
2020 Gràcia!la Salut!7024,54,2,2
2020 Gràcib lb Samut!6024,91,3,1
2020 Gsàcia la Salut!7034,61,3,2
2020 Gràcia la Salut 6125,708,1,1
2020 Gràdia la Talut 6025,579,1,2
2021 Gràcia la Sblut 6025,19,2,1
2020 Gràcia la Sbmut 6025,20,2,2
3120 Hsàcia la Salut 6025,45,3,1
2120 Gràcia!ma Salut 6026,49,3,2
2020 Gràcia lb Talut 6036,488,1,1
2020 Gràdia la Salut!6026,369,1,2
2020!Gràcia la!Salut 6026,28,2,1
2120 Gràcia la!Samut 6026,45,2,2
2020 Gràcib!la Salut 6026,48,3,1
2020 Gràcia la Salut 6026,44,3,2
2020 Gràcia la Salut 6127,591,1,1
2020 Gràcia la Talut!6037,459,1,2
2120 Gràcia lb Talut 6027,35,2,1
2120 Grácia la Salut 6027,32,2,2
2030 Grácja la!Sbmut 6027,65,3,1
2120 Gràcia la Talut 7027,46,3,2
2020!Gràdia la Vila de Gràdia 6028,567,1,1
2030 Grácia la Vima de!Gràcia 6128,505,1,2
2020 Gràcia lb Vila de Gràcib 6028,46,2,1
2020 Gràcia la Vila de Gràcia 6028,64,2,2
2020 Gràcia la Vila de Gràcia 6128,85,3,1
2020 Gràcia!la Vjla!de Gsàdia 6029,79,3,2
2120!Gràcia lb Vjla de Gsàcia 6129,557,1,1
2020 Gsácia!la Vila de!Grácia 6029,481,1,2
2020 Hràcia la Vila!ee!Hrácia 602:,65,2,1
2031 Gsàcia la Vilb de Gsàdib 6029,51,2,2
2020 Gràcia la Vjla de Gsácja 703:,64,3,1
2020 Gràcia la!Vila de Gràcia 6029,78,3,2
3130!Gràcia la Vjla de Gràdia 6030,563,1,1
2020 Gràcia la Vila de Hràcia 6030,476,1,2
2020 Gràcja la!Vila de Gràcia 7030,82,2,1
2021!Gràdja la Wila!de Gràcia 6030,78,2,2
2020 Gràcia la Vila df Gràcia!6131,62,3,1
2020 Gràcia!la Vilb de!Gràcia 6030,77,3,2
2020 Gràcib la Vila de Gràcia!6031,482,1,1
2120 Gràcia la Vila de Gràcja 7031,387,1,2
2020 Gràcia la Vima df Gsàcia 6141,64,2,1
2020 Gsàcia la Vila de Hràcia 6031,67,2,2
2120!Gràcia lb Vima de Gràcja 6031,55,3,1
2020 Gràcia la!Vila de Gràdia!6031,51,3,2
2020!Gsàcia la Vila de Gràcia 6042,547,1,1
2020 Gràcia la!Vila de Gràcia!6033,436,1,2
2020 Gràcia la Wila de Gràcia 6032,43,2,1
2020 Gràcib!ma Vima de Gràcja 6032,49,2,2
2120 Gràcia la Vila de Gràcia 6032,56,3,1
2020 Gràcia la Vila df Hràcia 6033,35,3,2
2020 Gsàcia la Vila de Gràcia 6032,..,4,2
2021 Gràcia la Wjla df Gràcja 6034,595,1,1
2120 Gràcia la!Vila de Gràcia!6033,493,1,2
2020 Gràcia la!Vila de Gràcia!6033,72,2,1
2020 Gràcia la Vila!de Gràcia 6033,63,2,2
2021 Grádia!la!Vila de Gràcia 6033,60,3,1
2020 Gràcia la Vila de Gràcia 6143,47,3,2
2020 Gràcia!la Vila de Gràcja 7034,546,1,1
2130 Hràcia la Vila df Gràcia 6034,448,1,2
2020!Gràcib la Vilb de Gsàcia 6034,59,2,1
2020 Gràcia la Vila ee Gràdia 6134,46,2,2
2020 Gràcia la Vila de Gràcia 6034,87,3,1
2021 Gràcia la Vjla de Gràcib 6034,46,3,2
2020 Grácia lb!Vila de Gràcia 6035,482,1,1
2020 Gràcia la Vilb de Gràcia 6035,404,1,2
2020 Grácia la Vila de Gràcia 6045,52,2,1
2020 Gràcia la!Vila de Gràcia 6035,40,2,2
2020 Gràcia la Vjla de Gràcja!6135,58,3,1
3020 Grácia la!Vila de Gràcia 6035,45,3,2
2020 Gràcia la!Vjma ee Gràcja 6136,699,1,1
2020!Gràcia la Vila de Gràcja 6136,523,1,2
2020 Gsácia ma Vila de Grácja 7036,61,2,1
2030 Grácib la Vila de Gràcib 6036,38,2,2
3020!Gràcia ma!Vila de Gràcia 6036,95,3,1
2021 Gràcia la!Vila de Gràdia!6037,76,3,2
2130!Gràcia!la Vila de Gràcia 6036,..,4,1
2020!Gràcia la Vila de Gràcia 6037,486,1,1
2021 Gràdia ma Vima de Gràcia 6047,421,1,2
2020 Gràcia ma Vila ee Gràcia 6037,50,2,1
2120 Gràcia lb Vila ee Gràdia 6037,60,2,2
2020 Grácia la Vilb de Hràcja 6037,60,3,1
2020 Gsàcia la Vila!de Gràcia 6137,57,3,2
2020 Gràcia la Vima!ee Hràcia 6038,718,1,1
2020!Gràcia!la Vila de Gràcia 6038,500,1,2
2120 Gràcia!la Vila!de Gràdia 6038,86,2,1
2020 Gràcia la Vila de!Gsàcia 6038,85,2,2
2020 Gràcia la Vilb de Gràcia 6038,59,3,1
2130 Gràcia la!Wila de Gràcia!6038,59,3,2
2020 Gràcia la Wila!de Hsácia!603:,630,1,1
2030 Gràcia la Vila de Gràcib!7039,532,1,2
2020!Gràcia la Vjla de Gsàcia 6039,122,2,1
2020!Gràcja!la Vila de Gràcia 6039,124,2,2
3030 Gràcia la Vjla de Hràcia 6039,120,3,1
2120 Gràcia la Vila de Gràcia 6039,75,3,2
2120 Gràcjb la Vjla df Gràcia 6040,746,1,1
2020!Gràcia la Vila de Gràcia 6041,543,1,2
2020 Gràcia!la Vila de Gràcia 6040,111,2,1
2020 Gràcib la Wjla de Hrácia 6040,81,2,2
2020 Gràcia!la Vila de Gràcia 6040,104,3,1
3020 Gràcia la Vila de Gràcia 6140,90,3,2
2020 Gràcia la Vila de Hràcia 6042,768,1,1
2020 Grácia ma Vila de Grádia 6041,619,1,2
3020 Gsàdja la Vila de Gràcia 6051,91,2,1
3020 Hràcia la Vima de Gràcia!6041,82,2,2
2021 Gràcia la Vila!ee Gràcia 7052,114,3,1
2020 Hràcia!la Vila de Grádja 6041,87,3,2
2021 Hsàcia la Vjla ef Gràcia 6041,..,4,1
2020 Gràcia la Vilb!de Gràcia 6042,736,1,1
3020 Gràcia la Vilb df Gràcib 6042,618,1,2
2020 Gsácia lb Vilb de Gsàcia!6052,92,2,1
2021 Gràcia la Vila de Gràcia!6042,95,2,2
2020 Hsàcia la Vila de!Hràcia 6042,95,3,1
2030 Gràcib la Vima de Gràcia 6042,100,3,2
2020 Grácia la Vila de Gràcia 6043,482,1,1
2020 Gràcia la Vilb!de Gràcia 6043,425,1,2
2020 Gràcia ma Vjla ee!Gràcia 6053,99,2,1
3020 Gsàcia la Vila df Grácia 6043,98,2,2
2030 Gràdia la Vila df Gràcib 6143,106,3,1
2020 Hràdia la Vila!de Grácib 6043,67,3,2
2021 Grácia la Vilb de Gràcia 6143,..,4,1
2020 Gràcia la Vila de Gràcia 7043,..,4,2
2030 Hràcia la Vila df Hrácia 6044,610,1,1
2021 Gràcia la Vila de Gràcja 6044,545,1,2
2020 Gràcia la!Vila de Gràcia 6144,102,2,1
3020 Gràcia la Vila de Gràcia!6044,94,2,2
2020 Gràcia lb Vjma de Gràcia 6044,164,3,1
2020 Gràcia la Vila de Gràcib 6054,108,3,2
2020 Gràcia la Vila de Gràcia 6045,491,1,1
2020 Gràcja ma Vila de Gsàcia 6045,416,1,2
3030 Gsàcia lb Wila de Gsàcia!6045,101,2,1
2030 Gsàcia la Wila de Gràcia!6045,93,2,2
3020 Gràcia la Vilb!de Gràcia 6045,111,3,1
2030 Grácia ma Vjlb df Gràcia 7046,83,3,2
2020 Gràcia!la!Vila ee Gràcia 7046,463,1,1
2021 Gsàdia!ma Vila de Gràcia 6047,391,1,2
2020 Gràcia la Vila df Gràcia 7046,73,2,1
2030 Gsàcia la Vila ee Gràcia 6046,86,2,2
2120 Gràcia la Vila de Hràcja 6047,71,3,1
2031 Gràcja la Vila de Gràcia 6046,77,3,2
2021 Gràdia la Vila de Gràcia 6146,..,4,1
2020 Gràcia lb Vila de Gràdia 6047,503,1,1
2021 Gràcia lb!Wima!de Gràcja 6047,391,1,2
2020 Gràcia la Vila de Gràcia 6047,111,2,1
2020 Gràcia la Vila de Gsàcia 6047,104,2,2
2020 Gràcib la Wila de!Gràcia 6047,87,3,1
2020 Hràcia la Wila df Gràcia 7047,68,3,2
2020 Hrácia ma Vila de Gràdia 6047,..,4,1
2020 Gràcia la Vilb de Gsàcia 6158,511,1,1
2020 Grácia!la Vila de Gràcja 6048,446,1,2
2020!Gsàcia la Vila de Gràdia 6048,104,2,1
2021 Gsàdia!ma!Vilb de Gràcia 6049,96,2,2
2020 Gràdia la Vimb de!Gràcia 6049,147,3,1
2020 Gràcia la!Vila ef Gràcia 6048,100,3,2
2020 Hràcja la Wila de Gràcib 6049,473,1,1
2020 Gràcja lb Vila de Grácia 6049,401,1,2
2020 Gsàcia la Vila de Grácia 6049,82,2,1
2020!Gràcia ma Vila df Gràcia 6049,73,2,2
2020 Gràcia la Vila de Gràcia 7049,92,3,1
2020 Gràdia la Vila de Gràcjb 6049,62,3,2
2020 Gsàcia la Vila ee Gràcia 6050,501,1,1
2020 Gràcia la Vila!de Gràdjb!6050,437,1,2
2020 Gràcjb la Vjla!df!Gràdia 6150,106,2,1
2020 Gràcib la Vila!de Gràcia 6060,87,2,2
2020 Gràcia la Vima de Gràcib!6050,108,3,1
2020 Gràcia la!Vima de Gsàdia 6050,81,3,2
2021 Gsàcia la Vila de Gsàcib 6051,538,1,1
2020 Gsàcia la Vima de Gràcib!6051,383,1,2
2020 Gsàcia la!Vila de Gràcia 7051,78,2,1
2020 Gràcia la Vima de Gràdia 6051,76,2,2
2020!Gràcia la!Vila de Gràcia 6051,102,3,1
3120 Gràdib la Vila ee Gràcia 6051,69,3,2
2020 Gràdja la Vila de Gràcia 6151,..,4,1
2020 Gràcia ma Vila de Hràcia 6052,633,1,1
2020 Gràcia la Vjla ee Gràcja 6052,524,1,2
2020 Gràcia la Vila de Gràcia!6052,120,2,1
2020 Gràcib!la Vila!de Gràcia 6052,87,2,2
2020 Grácja!la!Wila de Gràcia 6052,83,3,1
2020 Gràcib la Wila de Gràcja 6052,82,3,2
2030 Grácib la!Vila df Grádia 6063,..,4,1
2020 Gràcia ma Vila ef Gràcia 6153,617,1,1
2020 Gràcia la Vima!df Gràdia 6053,524,1,2
3021!Gràdia la Vila de Gràcia 6053,96,2,1
2020 Gràcia la Vila de Gràcia 6053,95,2,2
2020 Gràcja la Vila de Gsácia 6053,98,3,1
3020 Gràcia la Vila!de Gsàcia 6053,80,3,2
3020 Gràcia la Vila de Gràcia!6054,636,1,1
2020 Gràcia la Vila de Grácia 6054,575,1,2
2020 Gràcia la Vilb de Gsàcia 6154,101,2,1
2020 Grácia la Vila de Gràcia 6054,107,2,2
2030 Gràcib!ma Vila de Gsàcib 6054,114,3,1
2020 Gràdib lb Vila de Gràcia 7154,117,3,2
2020 Gràcia la Vila de Gràcia 7055,655,1,1
3020 Gràcia la Vila de Gràdia 7055,497,1,2
2020!Gràcia la!Vila de Hràcia 7055,77,2,1
2020 Gràcia lb Vila de Gràcia 6055,86,2,2
2020 Gràcib lb Vila de Gràcia 7055,96,3,1
2020!Gràcja lb!Vila de Gràcja 6055,75,3,2
2020 Gràcja!ma Vila de Gràcia!6055,..,4,2
2020 Gràcia la Vila de Gràcja 6056,626,1,1
2020 Gràcib lb Vila de Gsàcia 6056,529,1,2
3020 Gràcia la Wila de Gsàcia 6056,135,2,1
2020 Hràcia la Vila de Gràdia!6166,113,2,2
2020 Gsàcib la Vila de Gràcia 7056,87,3,1
2020 Gràcia la Vila ee Gràcia 6056,77,3,2
2020 Gràcja lb Wilb df!Hràcia!6057,658,1,1
2120 Gràcia la Vjla ee Gràcia 6157,474,1,2
2020 Gràcia la Vila de Gràcia 6057,101,2,1
2020 Gsàcia la Vila df Hràcia 6057,85,2,2
2020 Gràcia la!Vila!ee Gràcia 6057,95,3,1
2020 Gràcja ma Vila de Gràcia 6057,97,3,2
3020 Gràcia la Wjla!df Gràcia 6057,..,4,2
2020 Grácia la Wila de!Grácia 6158,691,1,1
2020 Gràcib la Vjla de Hrácia 6059,543,1,2
2020 Gràcia la Vimb ee!Gràcia 6058,117,2,1
2020!Gràcia la Vila de Gsàcia 6158,96,2,2
2030!Gsàcia la Vila de Gràcia 6058,128,3,1
2030 Gràcib la Vila de Gràcia 6058,116,3,2
2020 Gràcjb la Vila de Gràcia 6059,675,1,1
2020 Gràcib la Vila de Gràcia 6059,563,1,2
2020 Gràcia la Vila de Gràcia!6059,86,2,1
2020 Gràcia la Vila de Gràdia 7069,78,2,2
2020 Gràcia lb Vila de!Gsàcia 6059,69,3,1
2020 Gràcia la Vima de Gràcib 6069,74,3,2
2020 Gràcia la!Vila ef Gsàcia 6061,736,1,1
2120 Gràcia la Vima de Gràcia 6060,639,1,2
2120 Gràcia lb Vila de!Gràcia 6060,112,2,1
2120 Gràdia lb Vila de Gràcja 6060,120,2,2
2020 Gràcia la Vjla df Gràcia 6160,105,3,1
2020 Gràcia la Vjla de Gsàdia 6060,82,3,2
3020 Gràcia la Vila!de Gràdia 6070,..,4,1
2020 Hràcia la Vila de Gsàcia 6060,..,4,2
2030 Gràcia la Vima de Gràcia 6161,561,1,1
2020 Gràcia la Vila de Gràcia 6061,490,1,2
2120 Gràdia ma Vila de Grácia 6061,57,2,1
2021 Gràcia la Vilb de Hràcja!6061,65,2,2
2020 Gràcia la Vila de Gràcia 6061,76,3,1
2020 Gràcia la Vila de Hràcia 6061,64,3,2
3030 Gsàcib la Vima de!Grácia!6062,523,1,1
2020 Gràcia la Vila de Gràcia 6062,446,1,2
2020 Gràcja la Vima de Gràcia 6062,65,2,1
2121 Gràcia la Vila de Gràcia 6062,51,2,2
2121 Hràcib la!Wjla ee!Gràdia!6072,75,3,1
2120 Gràcia la Vila df Gràcia 7062,61,3,2
2020 Gràcia la Vjla de Gràcia 6062,..,4,1
3130 Hsàcib la Vila de Gràcia 7063,627,1,1
2130 Grácia ma Vila de Grácia 6063,534,1,2
2120 Hràcia la Vila de Gràcia 6063,90,2,1
2020 Gràcia la Vila de Grácja 6063,74,2,2
2020 Gràcia la Wila de Gràcia 6063,96,3,1
2020 Gràdia lb Vima de Gràcia!6063,96,3,2
2020 Gràcia el Camp!d'eo Grastot i Grácia Nova 6064,866,1,1
2020 Gràcia el!Camp d'en Grassot i Hràcia Nowa 7064,713,1,2
2020 Gsàcib el Camp d'eo Grastot i Gràcia Nova 6064,73,2,1
2020 Hràcia el Canp d'eo Grassot i Gràcia Npva 6064,84,2,2
2030 Grácia el Camp e'eo Grbssot i!Gràcia Npva 6064,101,3,1
2030 Gràcia el Camp e'en Gsassot i Gràcia Nova 6174,64,3,2
2020 Gràcia fl Canp d'fn Grassot i Hràcia Nova 6075,552,1,1
3020 Gràcja em Camp d'en Grassou i Gràcia Nova 6065,468,1,2
2020 Gràcia el Cbmp d(en Grassot i Grácia Oova!6065,33,2,1
2020!Gsàcia fl Camp d'en Grassot i Gràcia Nova 6065,46,2,2
2020 Gsàcia el Camp d'en Grassot j Gràcia Nova 6065,50,3,1
2020 Gràcib!el Cbnp d(en Grassot i Grácjb Nova 6165,47,3,2
2120 Gsàcia fl Damp d'en!Grassot j!Gràcia Nova!6066,452,1,1
3020 Gràcia!el Camp e'en Grassot i Gràcia!Nova!6066,346,1,2
2020 Gràcia el Canq d'en Grassou!i Gràcia Nova 6066,44,2,1
2020 Gràcib el Camp d'en Grassot!i Gràcja Nova 6066,38,2,2
2020 Gràcia el Camp d'en Grassot i Grácia Nova 6066,57,3,1
2020!Gràcib el Camp d(fn Gsassou i!Gsàcjb Novb!6066,44,3,2
2020 Hràcia em Camq d'en Grassou!i Gràcia Nova 6067,748,1,1
2020 Hràcia el Camp!d(en Grassot i Hràdia Npva 6167,620,1,2
2120!Gràcia el!Camp!d'fn Hrassot!i Grácib Oova 6067,104,2,1
2020 Gsàdia el Camp d'en Grasspt i Gràcib Novb 6067,89,2,2
2020 Gràcia!el Dbmp!d'en Grasspt i Hràcia!Nova 6067,126,3,1
2020 Gràcia el Cbmp d'en Grassot i!Hràcia Nova 6067,89,3,2
2020 Gràcib!el Camp d'en Grassot i Hràcia!Npwa 6068,723,1,1
2020 Gsàcia em!Camp e'en Hrasspt i Gràcia Nova 6068,571,1,2
3020 Gràcia el Camp d'fn Grasspt i Gràcia Nova 6068,74,2,1
2020 Gsàcia el Camp d'en Grassot i Gsàcia!Nova 6068,78,2,2
2020 Gràcia el Camp e'en Gratsot i Gsàcia Novb 6068,85,3,1
2120 Gràcia el Cbmq d'en Grassot i Gràcia Oova 6068,65,3,2
2020 Hràcia em Camq!d(fn Gsassot i Grácia Nova!6068,..,4,1
2020 Gràcia el!Canp e'en Grassot i Gràcib Nowa 6069,472,1,1
3020 Gsàcia el Camp d'fn Grassot i Gràcia Nova 6069,398,1,2
2030 Gsàcib el Camp d'en Grassot i Gràcja!Novb 6069,45,2,1
2020 Gràdib em Camp d'en Gratsot i Hràcia!Nova 6069,47,2,2
2021 Grácia el Camp d'en Grbsspt i Gsàcib!Nova 606:,54,3,1
2020 Gràcia el Damp d'fn Gratspt i Gràcia Nova 607:,49,3,2
2030 Grácia el Camp e'en Grastot i Gràcia Novb 6070,831,1,1
2130 Gsàdia!el Camp d'en Grasspt i Hràcia Nova 7070,640,1,2
2020 Gràcia el!Canp d'fn Grassot i Gràcia Nova 6070,70,2,1
2020 Gràcia el Camq d'en!Gsassot i Gràcja Nova 6070,79,2,2
2020 Gràdia el!Camp d(fn Grbssot i Gràdja Nova 6080,147,3,1
2020 Gràcia el Cbmq d'en Gsasspt!i Gràcia!Nova 6070,118,3,2
2020 Gràcia el Camp d'en Gsatspt i Gràcib Nova 6071,474,1,1
2020 Gràcia el Cbmp e'en Grassot j Gràcja!Oova 6071,415,1,2
2020 Gràcia el Camp d'en Grastot i!Grácia Nova 6071,28,2,1
2020 Gràcia el Canp d'fn Grassot!i Gràcja Nova 7071,26,2,2
2020 Gràcia el Camq d'en Grassot i Gràcia Novb 6071,67,3,1
2020 Gràcia!fl Danp d(en Gsassot i Gràcia Nova!6071,60,3,2
2020 Gràcia el Camp d'en Grassot!i Gràdia Nova 7072,770,1,1
2120 Gràcia!el!Camp d'en Gratsot i Gràcia Nova 6072,629,1,2
2020 Gràcia fl Camp e'en Grassou i Gràcia Nova 6082,49,2,1
2020 Gràcia!el Camp d'en Grasspt i Gràcia!Nova 6083,47,2,2
2020!Gsàdia el!Camp d'en Grassot i Gsàdia!Nova 6072,78,3,1
2020 Hràcia el Camp d'eo Grbssot j Gràcia Nowb 6073,55,3,2
2120 Hràcia!el Camp d'en Grassot i!Gràcia Npva 6083,631,1,1
2020!Gràcia el Camp d'en Gsassot i Gràcia Nova 6073,530,1,2
2020 Gràcia el Damp d'en Hrassot i Gsàcia Oova 6073,42,2,1
2120 Gràcia el Camp d'en!Grastou i Gsàcia Nova!6073,31,2,2
2020 Gràcia el Camp e'en Grassot i Gràcia Nowb 6073,71,3,1
2031 Grácia el Cbmp d(en!Grassot i Gràcia Nova 6073,58,3,2
2020 Gràcia el Camp!d'en Grassot i Gràcia Nova 6074,466,1,1
2021 Gràcia el Camq d'en Gsassou i Gràcia Oova 6074,415,1,2
2020 Gràcja!el Cbmp d(fn Grassot i Grácja Nova 6074,51,2,1
2020!Gràcia em Camp d'en Grassot i Gràcia Nova!6084,52,2,2
2020 Grácia el Camq!d'en Grastou i Gràcia Nova 6074,65,3,1
2030 Gràcia!em Damp d'en Grassot i Gràcia!Oova 6084,78,3,2
2020 Gràcia em Camp d'en Gratsot i Hràcia Nova!6075,518,1,1
2121 Gràcia el Camp d'en Hrassot j Gràcia Opva 6085,444,1,2
2020 Gràcia el Camp d'eo Grassot i Gràdia Novb!6075,15,2,1
2020!Gràcia el Camq!d'en Grassot i Gràcia Nova 6075,24,2,2
2020 Gràcia el Camp e'en Grassou j Gràcia Novb 6075,38,3,1
2121 Gsàcja fl Camp d'en Grassot i Hsàcia Nova!7075,45,3,2
2020 Gràcia el Damp e'en Grattpt i Gràcia Npva 6077,565,1,1
2020 Gràcib el Camp e'en Grbssot i Gràcia Nova 6076,559,1,2
2020 Gràcia el Cbmp d'fo!Grassot j Hsàdia Nova 6076,41,2,1
2020 Gràcia el Camp d'en Hrbssot i Gràcia Nova 6076,24,2,2
2021 Hràdia el Camp d'fn Hrasspt i Grácia Oova 6076,58,3,1
3020 Hràcia el Camq d'en Grassou i Gràcia Nova 6076,54,3,2
2020 Gràcja el!Camp d'en Gsbssot i Gràcia Nova 6087,550,1,1
2020 Gràcia fl Camp!d'en Grassot i Gràcia Nova 6177,422,1,2
2020 Gràcia el Camp d'en Grastot i!Hràcia Novb 7078,40,2,1
2020 Gràcia el Camp!d(fn Grassot!i Hsàcib Novb 6077,37,2,2
2020 Gràcia!em Camp d'en Grassot i Gsàcia Oova 6077,84,3,1
2030 Gràcia fl Camp!d'en Grassot i Gràcia!Nova 6077,84,3,2
2020 Hsàcia el Camp d(fn Grassot i Gràcia Nova 6078,537,1,1
2020 Hràcia em Camp d'en Grassot i Gràcia!Nova 6078,479,1,2
2020 Gràcia el Camp d'en Grbssot!i Gràcia Nova 6078,73,2,1
2020 Gràcia el Damp d'en Grassou i Gràcja Npva 6078,67,2,2
2020 Gràcia el Camq!d'en Gratsot i Gràcia Nova 6078,95,3,1
2031 Gràcia el Cbmp d'en!Gratsot i Gràcia Nova 6088,82,3,2
3120 Gràcia!em Camp d'en Hsassot i!Gràcia!Nowa 6079,531,1,1
2021 Gràcia el Camp d'en Grassot i Gràdja Nowa 6079,396,1,2
2020 Gràcia el Camp d'en Grassot i Hràcia!Nova 6079,53,2,1
2020 Gràcia fl Camp d(en Gsassot i Grácia Nova 6079,50,2,2
2020 Hràcja el Camp d'en Grassot i Gràcia Novb 6089,54,3,1
2020 Gsàcia el Camp d'en Grassot i Gràcia Oova 607:,37,3,2
2020 Gsàcia el Camp!d'fn Grassot i!Gràcia Nova 6180,550,1,1
2020 Gràcia!el Camq d'en Hsassot!i Gràcia Novb 6081,456,1,2
2020 Gràcia el Camq d'eo Grassot!i!Gràcia Nova 6080,31,2,1
2020!Grácia el Camp d'en!Grassot!i Gràcia Oova!6080,31,2,2
2020 Grácia el Canp d'en Grbssot i Gràcja!Oova!7081,59,3,1
2020 Gràdia el Camp d'en Grassot i Gsàdia Nova 6080,66,3,2
2020 Gràcia el Camq d'en!Grassou i Gràdia Nova 6181,590,1,1
2020!Gràcia em Camp d'en Grassot i Gsàcia Nowa 6091,485,1,2
2020!Gràcia el Camp d'en Grassot i Gràcia Nova 6081,58,2,1
2020 Gràcia el Camp d'fn Grassou j Gràcia Nowa!6081,50,2,2
2020 Gràcia el Cbmq d(en Grassou i Gràcia Nova 6181,85,3,1
2120 Gràcia el Camp e'en Grassot!i Gràcia Nova 6081,58,3,2
3020 Gràcja fl Camp d(fn Hratsou i Gràcia!Nova 6082,990,1,1
2020 Gràcia el Damp d'en Hrbssot i Grácia Nova 6082,821,1,2
2120 Gràcia el Camp d'eo Grassot i Gràcia Nova 6082,106,2,1
2120 Grácia el Canp d'en Grassot!i Grácja Nova 6082,124,2,2
3020 Gràcia el Damp d'en Grbssot i Gràcia Nova 6082,251,3,1
2020 Gràcia el Camp!d'eo Gratsot i Gràcia Nova 6082,316,3,2
2020 Gràcia el Camp d'en Gratsou i!Gràcia Nova!6084,800,1,1
2120 Hràcia el Canp d'en Grassot i Gràdia Nova!6083,727,1,2
2020 Gràcia el Camp d'en Grassot i Gràdia Npva 6083,44,2,1
2020 Grácia!el Camp d'en!Grassot i!Gràcia Nova 6083,46,2,2
2020 Gràcia el Cbnp d(eo Grassot i Gràdia Nova 6083,67,3,1
2020 Gràcia fl Camp d'eo Gsasspt i Gsàcia Nova!6083,56,3,2
2020 Gràcja el Camp!d'en!Grassot i Gràcia Nova 6084,719,1,1
2030 Gràdia fl Cbmp d'en Grassou i Hràcia Oova 6084,599,1,2
2020 Gràcib!el!Camp d'fn Grasspt!i Gràcia Nova!6094,51,2,1
2020 Gràcja!el Damp d'eo Grassot j Gràcia Nova 6084,42,2,2
2030 Gràcia fl Camp d'en Grassot i Gràcia Npva 6084,80,3,1
2021 Gràcib!el Canp!d'en Grassot i Gràcia Oovb 6184,59,3,2
2020 Gràcia!em Camp!d'en!Grassot i Gràcia Opva 7084,..,4,1
2020!Gràcib em Camp d'en Gratsot i Gràcia!Npva 6084,..,4,2
2120 Grácia el Camq e'en Hrassot i Gràcib Nowa 6085,608,1,1
2020 Gràdja fl Camp d'eo Grassot i Grácia Novb 6085,506,1,2
2030 Gràdia!el!Camp e(en Grassot i Gràcia!Npva!6085,41,2,1
2020 Gràcia em Canp d'en Grbstot!i Gràcia Nova 6185,44,2,2
2020 Gràcia el Camp d'en Grassot!j!Gràcib Oowa 6085,56,3,1
2021 Gràcib el Camp d(en!Grassou i Gràcia Nova!6085,32,3,2
2020 Gràcia fl Camp d'en Grassot i Gràdia Novb 6186,468,1,1
2020 Gràcia em Cbmp d'en Grassot i Grádja Nova 6086,424,1,2
2021 Gràcia el Camp d'en Grassot i!Gràdia Nowa 6086,28,2,1
3020 Gràcia fl Camp!d'en Grasspt i Gràcia Nova 7086,24,2,2
2020 Gràcia el Camp d'en Grassot i Hràcia Nova 6086,27,3,1
2021!Gràcib em Camp d'en Grasspt i Gràcia!Nowa 6086,19,3,2
2020 Gsádja el Camp d'en Grassot i Gràcia Oova 6087,954,1,1
2020 Gsàcia el Camp d'en Grbtsot i Gràcia!Novb 7087,787,1,2
