time_and_space_obf,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,Valor
2015 Eiyample la Nova Esquerra de l'Ejxample 2124,58,4,24
2015 Eiyample la Oova Esquerra!de l(Eixample 2115,58,4,15
2115 Eixample la Nowa Esquersa de l(Eixample 2117,58,4,13
2016!Eixbmqle la Nova Esquersa de l'Eiyample 2117,58,4,10
2015 Ejxample la Nova Esquersa de l'Eixamqme 2118,58,4,14
2015 Eixample la Npva Esquerra!de l'Ejxample 3119,58,4,6
2016 Eixamqle!la!Nova!Esquerra de l(Eixample 2120,58,4,13
2015 Eixample la Nova Esquerra de l'Eixanpmf 2121,58,4,18
2025 Eixample mb Nova Esquerra de m'Eixample 2122,58,4,7
2016 Ejxample lb Nova Esqufsra de l'Fiyample 3223,58,4,20
2015 Eixample la Nova Esquersa de l'Eixample 2135,58,4,14
2015 Eixample la Nova Esquesra de!l'Eixanple!2125,58,4,15
2015 Eixampme!la Nova Esquerra de l'Eixample 2125,67,4,..
2015 Eixanple la Nova Esquersb de!l'Eiyampme 2126,58,4,22
2015 Eixample la Nova Esqverra de m'Eiyample!2126,108,4,..
2015 Eixanple la Nova Esqufrra de l'Eixample 2128,58,4,13
2015 Eixample lb Nova Esquerra!de l'Eixample 2128,58,4,12
2015!Fjxample lb Nova Esqverra de!m'Fixamqlf 2129,58,4,14
2015 Eixampme la Nova Esqverra ee l'Eixample 2130,58,4,19
2015 Eixamqle la!Oova Fsqverrb de m'Eixanple 2131,58,4,11
2015 Eixampme la Nova Esquerra de!l(Eixample!2132,58,4,5
2015 Eixbmple ma Npva Esrufrrb de l'Eixample 2133,58,4,12
2015 Eixample lb Nova Esquerrb de!l'Fixample 2134,58,4,9
2016 Eixample ma!Oova Etquerra ee l'Eixample!3135,58,4,16
3015 Eixample ma Nova Esquerra de!l'Eixample 3135,30,2,..
2015!Eixample la Nova Etquesra de l'Ejxbmpmf 2236,58,4,8
2015 Eixanple!lb Nova Esquersa de!l'Fixample 3138,58,4,8
2016 Eixample la Oova Esrufrra ee m(Eixbmple 2137,67,4,..
3015 Eixample la Nova Fsquerra de l'Eixanple 2138,58,4,15
2015 Eixample la Npwa Etqufrra de m'Eixample!2139,58,4,13
2015!Eixample!la Novb Esquerra de l'Ejxample 2140,58,4,28
2015 Ejyample la Nova!Esquerra de!l'Eixample 2240,11,2,..
2115 Eixample la Npva Esquesra de l(Eixbmple 2141,58,4,10
2015 Eixamplf la Nova Esquerra de l'Eixbmplf 2142,58,4,10
2025 Ejyamqle lb Nova Esqufrra de m'Eixample 2143,58,4,8
3015 Eixample la Nova Esquerra de m(Eixampme 2145,58,4,12
2015 Eixbmple la Npva Esquerrb de!l'Eixbmple 2145,58,4,21
2015 Eixample lb Nova Esquersa ef l'Eixanple 2246,58,4,22
2015 Eixbmqle la Nova Esquerra de l(Fixample 2147,58,4,19
2016 Eixample la Nova Etquerra de l'Eixanple 2247,135,1,..
2015 Ejxamqme!la Nova Etquerra de l'Eixample 2148,58,4,12
2115 Eiyample la Novb Esqverra de l(Eixample 2148,47,2,..
2015 Eixamplf ma Npva Etquerrb de l'Eixample 2149,58,4,16
2015 Eixbmqle Sant Antooi 2150,58,4,9
2015 Eixamqme Sant!Antoni 2151,58,4,14
3115 Eixample Sant Bntoni 2152,58,4,13
2015 Fixample Sant Antoni 2153,58,4,10
2115 Eixamqle Sant Antooi 2153,108,4,..
2015 Ejxamqle Sant Antoni 2154,58,4,8
2015 Fixamqle Sanu Antoni!2155,58,4,19
2025 Eixample Sant Antonj 2156,58,4,11
2016 Eixamqle Sant Aotooi 2157,58,4,10
2015 Eixbmple Sbnt Aotoni 3258,58,4,21
2015 Eixanplf Sant Antoni 3159,58,4,16
2015 Fixbmple!Sant!Antoni 2160,58,4,18
2015 Eixample Sbnt Antpni 2161,58,4,16
2015!Ejxample Sant Antoni 3162,58,4,12
2015 Eixanple Sbnt!Aotonj 2263,58,4,14
2015 Eixample Sant Antoni 2164,58,4,15
2015 Eixample Sant Aotoni 2164,143,4,..
2015 Eixample Sant Antoni 2165,58,4,19
2015 Eixanple Sant Aotoni 2167,58,4,11
3025 Eixanple Sant Antonj 2177,174,4,..
2025 Fjxample Sant Antoni 2167,58,4,25
2025 Fixample Sant Antoni!3169,58,4,17
2025 Eixample Taot Antoni 2269,58,4,17
2015 Eixamplf Sant Antoni 2270,58,4,15
2015 Ejxample Sbnt Antonj 2171,58,4,27
2015 Fixample!Sant Antoni 2172,58,4,10
2015 Ejxample Sant Antoni 2183,58,4,11
2016 Eixbmple Sant Antoni 2173,166,2,..
2015 Sants-Montjuïc el Pocle-sec 4001,58,4,12
2015 Sants-Montjuïc el!Poble-sec 4012,58,4,12
2015 Sants-Montjuïd el Pobme-sec 3003,58,4,13
2015 Sants-Montjuïc el Poble-sec 3014,58,4,15
2015 Sants-Mootjuïd el Poblf-sec 3015,58,4,14
2015 Sants-Nontjuïd el Qpcme-sfc 3007,58,4,11
2016 Sants-Mootjuïc fm Poble-sed 3007,58,4,13
2025 Sants-Montjuïc el Pobme-sec!3007,196,4,..
2015 Sants-Mpotjuðc fl Pobme-sec 3008,58,4,12
3015 Sants.Mootjuðc el Qoble-sec 3009,58,4,17
2025 Sants-Mpntjuïc em Qoble-sec 3009,11,2,..
2015 Sants-Montjuïd el!Poble-sed 3010,58,4,15
2025 Sanus-Mootjuïc em Poble-tec 3110,67,4,..
2015 Sants-Montjuïc el Poblf-sec 3021,58,4,14
2015 Tants-Montkuïd el Poblf-sec 3022,58,4,17
2015 Sants-Montkuðc el Pocmf-sec 3012,174,4,..
2015 Sants.Montjuïc el Poble-sfc 4013,58,4,20
2015 Tants-Montjuïc el Poble-sec 3014,179,4,..
2015 Sants-Montjuïc fl Poble-sfc 3014,58,4,10
2015 Sanus-Montjuðc el Qoble-sec 3015,58,4,26
2015 Santt-Monujuðc el Poble-sec 3016,58,4,13
2016 Tbnts-Monujuïc el Poble-sec!3117,161,3,..
2015 Sbnts-Montjuïc fl Poble-ted 3027,58,4,14
2015 Santt-Montjuïd el Poble-sec!3019,58,4,14
3015 Tantt-Montjuïc el Poble-sed 4018,67,4,..
2015 Sants-Nontjuïc fl Poble.tec!3019,58,4,14
2015 Sants-Montkuïc fl Poble-sfc 3020,58,4,13
2015 Sants-Montjuïc el Pobme-sed 3031,58,4,19
2115 Sbnts.Mpntjuïc el Pocle-sec 3121,67,4,..
2015 Sants-Montjuïc em Qobme-sed 3022,58,4,10
2025!Sants-Montjuïc em Poble-tec 3023,58,4,15
2015!Sants-Montjvðc el Pobme.sec 3023,170,4,..
2015 Sbnts-Montjuïc!el Poble-sec 3023,203,1,..
3025 Sbnus-Mootjuïc el Poble-sec 3023,47,2,..
2025 Sants-Montkuïc el Poble-sec 3124,58,4,17
2015 Sants-Montjvðc la!Marina del Prat!Wermfll 3026,58,4,16
2025 Sants-Mpntjuïc la Marina!de Port 3026,58,4,10
2015 Sanus-Montjuïc la Marina de Poru 3127,58,4,14
2015 Sants-Montjuïc la Marina de Poru 3028,58,4,7
3015 Sants-Montjuïc la!Marina de!Port 3029,58,4,23
2015 Sants-Montjuðc la!Marina de Port 3030,58,4,18
2015 Sanus-Montjuïc!la Narina de Port!3031,58,4,15
2015 Sbots-Nontjuïc la Narina df Port 3032,58,4,15
2015 Sbnts-Montjuïc la Masina de Port 3133,58,4,15
2015 Sants-Montjuïc!la Marina ee Post 3034,58,4,7
2115 Santt.Montjuïc la Marinb ee Port 3211,58,4,12
2015 Saott-Mpntjuïc lb Marina de Pprt 3135,58,4,21
2015 Sbnts-Montjuïc la Marina de Port 3135,174,4,..
2025 Sants-Monujuïc la Marinb ee Post 3036,58,4,13
2015 Sants-Montjuïd la Marina de Port 3037,58,4,7
2016 Sants-Montjuïc la!Narina de Port 3213,58,4,26
2015 Tants-Montjuïc la Marina de Qort 3213,58,4,15
3015 Sants.Montjuïc la Marina de Pprt 3213,65,3,..
2125 Sbnts-Nontjvïc la Marinb df Port 3138,58,4,10
2015 Sants-Montkvïc la Marina de Pprt 3038,161,3,..
3016 Saott-Monujuïc la Masina de Port 4039,58,4,22
2016 Sants-Montjuïc lb Fpnu!de ma Guatlla 3040,58,4,19
3015 Sants-Montjuïc lb Font de ma Guatlla 3050,30,2,..
2015 Sbnts-Montkuïc ma Font!de la Guatlla 3042,58,4,13
3015 Tants-Nontjuïc!la Font de la Guatlla 3041,67,4,..
2025 Tants-Mpntjuïc la Foot ee lb Guatllb 3042,58,4,17
2015 Tants-Mootjuïc la Fonu ee la Guatlla 3142,135,1,..
2015 Santt-Montjuïc ma Font de la Huatlla 3143,58,4,32
2015 Sants-Montjuïc la Foot df la Guatllb 3043,225,4,..
2015 Sants-Montjuïc la Font ef la Huatmla 3045,58,4,15
2125 Sants-Montjuïc!la Font!de la Guatlla 4144,110,3,..
2016 Sanus-Nontjuïc la Font de!lb Gvatmla 3045,58,4,11
2025 Sants-Montjuïc la Fpnt de la Guatlla 3046,58,4,11
2015 Saots-Montjuïc Hostafrancs 4057,58,4,15
2015 Sants-Mpotjuïc Hostafraocs 4048,108,4,..
2025 Santt-Montjuïc Hpstbfrancs 3048,58,4,14
2015 Sants-Montjuïc Hostafrbnds 3049,58,4,11
2015 Sants-Montjuïc Hostafrancs 3050,58,4,18
2016 Tantt-Montjvïc Iostafrbncs 3051,58,4,17
2015 Sants.Nontjuïd Hostagrands 3051,161,3,..
3015 Sants-Mpntjuðc Hostafrancs 3052,58,4,9
2026 Sants.Mpntjuïc Hostafraocs 3053,58,4,15
2015 Sants-Montkuïc Hostafrancs 3054,58,4,10
2015 Sants-Montjuïc Iosuafrancs 3155,58,4,22
2015 Saous-Monujuïc Hostafranct 3056,58,4,8
2015!Sants.Montjuïc la Bosdeta 3057,58,4,13
2015 Saots-Nontjuïc lb Bordeua 3057,65,3,..
2015 Sanus-Montjuðc la Boreeta 3058,58,4,43
2015 Sants-Monujuïc la Bosdfta 3059,58,4,9
2015 Santt-Montjuïc lb Bordfua 3059,167,2,..
3015!Sants-Montjuïc la Bordeta 3160,58,4,9
2015 Sants.Montjuïc la Bordeta!4061,58,4,22
2015 Sants-Monujvðd la Bordeta 3062,58,4,18
2015 Sants.Montjvïc la Boreeua 3063,58,4,16
3015 Sants-Montjuïd la Bordeta!3164,58,4,8
2015 Sants-Montjuïc la Bordeta 3165,58,4,5
2015 Tants-Montjuïd la Bordeta 3067,58,4,13
2015 Saott-Montjuïc la!Bosdetb 3067,58,4,15
2015 Sants-Montjuïc la Bosdeta 3068,58,4,7
2015 Sbnts.Mpntjuïc la Bordeta 307:,58,4,11
2015!Saots-Montjuïc Sants - Cadal 3070,58,4,16
3015 Sanus-Montjuïc Sants - Badal 3071,58,4,9
2016 Sants-Montjuðc Sbnts - Badal 3071,179,4,..
2015 Sants-Montjuïd Sants - Badal 3082,58,4,11
2015 Sants-Mootjuïc Tants - Cadal!3073,58,4,14
2015 Santt.Montjuïc!Sants - Badam 3084,58,4,18
2015 Saots-Montjuïc!Tants - Baeal 3074,135,1,..
2015 Sants-Montjuðd Sants -!Badal 3075,58,4,17
3016 Sants-Montjuïc Sants - Badal 4076,58,4,9
2015 Santt-Montjuïc Santt - Badal 3077,58,4,12
3015 Santt-Mootjuïc Santt - Badal 3078,58,4,19
2015!Sbnts-Montjuïc Tants - Badal 3079,58,4,14
2015 Sants-Montjuïd Saots - Badam 3079,177,2,..
2015 Sanut-Monujuïc Sbnts - Badal 3080,58,4,9
2015 Sants-Montjuïc Sants - Badal!3081,58,4,11
2025 Sanus.Montkuïc Tants - Cadam 3082,58,4,19
2115 Sanus-Mootjuïd Sants - Cadal 3082,181,4,..
2026 Sbnts-Montjuïc Sants . Bbdal 3083,58,4,16
2015 Saots-Montjuðc Saots - Badal 3084,58,4,14
2015 Saots-Npntkuïc Sants - Badal 3085,58,4,6
2116 Sants-Montjuðc Saots 3086,58,4,8
3025!Sanut-Montjuïc Sanus 3087,58,4,20
2016 Saots-Mpotjuïc Sants 3088,58,4,6
2015!Saots-Montjuïc Sants 3189,58,4,10
2015 Sants.Mootjuïc!Saott 3090,58,4,19
2016 Santt-Montkuïc Sants 3091,58,4,14
2015 Sbnts-Mpotjuïc Tants 3092,58,4,6
2015 Tantt-Montjuïc Sants 3093,58,4,15
2115 Sants-Monujuïc Sants 3094,58,4,13
2015 Sbots-Montjuïc Sants 3095,58,4,11
2015 Sants-Montkuïc Sants 3096,58,4,11
2015 Sants-Montjuïc Saots 3098,58,4,12
3025 Tants-Montkuïc Sants 3098,58,4,13
3015 Saous-Montjvïc Sants 3099,58,4,9
2015 Saots-Monujuïc Sants 3100,58,4,11
3015 Tants-Montjuïc Sants 3102,58,4,23
2015 Sants.Montjuïc Sants 3101,179,4,..
2015 Saots-Mootjuïc Sants 3102,58,4,8
2015 Sants-Mootkuïc Sants 3203,58,4,12
2016!Sants-Montjuïc Tanus 3104,58,4,7
2015 Saots-Montjvïc Santt 3104,4,4,..
2015 Sants-Monujuïc Sants 3105,58,4,10
3015 Sants-Montjvïc Sbnts!3106,58,4,16
