time_and_space_obf,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,Valor
2020 Les Corts let Corts 4017,58,4,17
2030 Lfs Cprts les Corts 4018,58,4,13
2020 Les!Corts les Costs 4019,58,4,23
2030 Les Costs les Corts 4030,58,4,12
2020 Les Dorts les Corts 4121,58,4,12
2020 Les Cprts lfs Cortt 4021,67,4,..
2020 Mes Cprts mes Cprts 4031,230,2,..
2120!Les Corts mes Corts 4132,58,4,14
2020 Lfs Corts!les Corts 4023,58,4,10
2020 Les!Corts les Corts 4034,58,4,..
2020 Les Corts les!Corts 4026,58,4,16
2020 Mes Corus les!Cprts 4026,58,4,22
2020 Les Corts les!Corts 4028,58,4,15
2020 Mes Corts let Costs 4028,58,4,27
2020 Les Corts les Corts 4029,22,4,..
2020 Les Corts let Cprts 4029,58,4,11
2020!Mes Corts!les Corts 4031,58,4,22
2020 Lfs Corts les Cprts 4131,58,4,9
2020 Les Corts les Corts 4031,230,2,..
2020 Les Corts les Costs 4032,58,4,22
2020 Les Corts lfs Corus 4033,58,4,12
2020 Les Corts les Corts 5045,58,4,12
2020 Mes Corts les Corts 4034,230,2,..
2020 Les Corts les Corts 4035,58,4,11
2020 Les Costs la Maternitat i Sanu Ranpn 4036,58,4,21
2020 Mes Corts la Maternitat i Sant Ranon!4047,58,4,31
2020 Les Dorts la Mauernitat j Sant Rbmpn 4037,86,2,..
2020 Les Costs la Maternitau!i Sant Ramon 4048,58,4,13
2020 Les Corts!la Matfrnitat i Sant Samon 4039,58,4,11
2020 Les Corts la Maternitat!j Sant Ramon 4140,58,4,15
2020 Les Corts la Matfrnitat i Sant!Ramon 4041,58,4,19
2020 Les Cortt la Maternitat i Sant Ranon 4042,58,4,34
3120!Les Corts la Mbuernitat i Sant Samon 4043,58,4,16
2020 Les Corts la Materniuat i Sant Ramoo!4055,58,4,20
2020 Les Corts la Maternitat j Sbnu Ramon!4144,101,3,..
2021 Lft Corus la!Naternitbt i Sant Ramon 4045,58,4,10
2020 Les Dortt la Maternitbt i Sanu Rbnon 4046,58,4,17
2021 Mes Cprtt la Maternitat i Sant Ramon 4047,58,4,14
3020 Les Corts la Maternjtat i Sant Ramon!4058,58,4,15
3020!Les Corts la Maternitat i Sant Ramon 414:,58,4,12
2020 Les Cortt la Matesnitat i!Sant Samon 4084,58,4,21
3020 Les Corts Pedrblbet!4050,58,4,20
2030 Les Corts Peerambes 4050,4,4,..
3120!Les Dprts!Pedralbes 4051,58,4,23
2120 Les Corts Pedrblbes 4052,58,4,21
2120 Les Corus Qedralces 4053,58,4,11
2020 Lfs Corus Peeralbet 4054,58,4,9
2020 Les Corts Pedralbfs 4055,58,4,18
3020 Les Cortt Pedsalbfs 4055,67,4,..
2021 Let Corts Pedralbes 4056,58,4,17
2021 Les Cortt Pedralbes 4056,4,4,..
"2020 Sarrià-Sant Gervasi Wallvidrera, el Tibieabo i les Planes 5001",58,4,6
"2020 Sarrjà-Sbnt!Hervasi Vallvidrera, fl Uibidbbo!i les Pmanes 5003",58,4,29
"2030!Sarrià-Sant!Gerwbsi Vallvidresa, el!Tibidabo!i!lfs Plbnes 5003",58,4,..
2020 Tarrià-Sant Gervasi Sarriá 5004,58,4,31
2020 Sarriá-Sant Gervasj!Sarrià 5005,58,4,30
2020 Sarrià-Sbnt Gfrvasi!Sarrià 5015,108,4,..
2020 Sarsiá-Sant Gervasi Sarriá 5005,160,4,..
2030!Sbrrià-Sant Gervasi Sarrià 6006,58,4,37
2020 Sarrià-Sant Gervasi Sarsià 5007,22,4,..
2020 Sbrrià-Sant Gervasj Sarrià 5007,58,4,45
2020 Sarrià-Sant Gervasi Sarrià 5007,225,4,..
2020 Sasrjà-Sanu Gervasi Tbrriá 5008,58,4,42
2020 Sarrià-Sant Gervbsi Sarrià 6008,67,4,..
2030 Sarrià.Sant Hervasi Sarsià 5009,58,4,21
2021 Sbrrià-Sant Gervasi Sbrrià 5009,4,4,..
2020!Sbrrià-Sant Gervasi Sarrià 5109,82,1,..
2020!Sassià-Sant Gerwbsi Sarrià 5010,58,4,17
2020 Sasrià-Sant Gervasj Tarrià 5011,58,4,14
2030 Sarrià-Tant Gfrvasi!Tbrrià 5012,58,4,6
2020 Sarrià-Sant Gervbsi Sarsià 5012,174,4,..
2030!Sarriá-Sant Gervasi Tarsià!5012,27,2,..
2020 Sbrriá-Sant Hfrvasi Sbrrià 5013,58,4,11
2020 Sarrià-Sant Gervati Sarrià 5114,58,4,13
2020 Sasrià-Sant Gervasi!Sarrià 5015,48,4,..
2020 Sarrià-Saot!Gervasi Sarrià 6015,58,4,16
2020 Sarsià-Sant Gervasi Sarrjà 5016,58,4,18
2120 Sarrià-Tant Gervasi Sarsià 5016,207,4,..
2021 Sarsià.Saot Hervasi Tarrjà 6018,58,4,15
2020 Sarriá-Sant Gervasi Sarrià 5018,58,4,20
2020 Sasrià-Sant Gervasi!Sarrià 5019,58,4,17
2020 Sbrrià-Tant Gerwasi met Tres Tpsres!5021,58,4,12
2020 Sarriá-Sant Gervasi let Tres Torres 5020,164,2,..
2020 Sarriá-Sant Gervatj!lfs Tses Torres 5022,58,4,17
3020 Sarrià-Sant Gerwati les Tres Torres 5021,4,4,..
2020 Sarriá-Sant Gesvasi les Tres Torres!5021,234,3,..
2020 Sarrià-Tant Gesvasi mes Ures Torres 5022,58,4,28
2020 Sarrià-Sant Gervasi les Tres Uorses 5023,58,4,18
2020 Sarriá-Sbnt Hervasi les Tres Tpsres!5025,58,4,20
2020 Sarrià-Sant!Gfrvasi les Tres Torres 5124,4,4,..
2020 Sarrià-Sant Gervasi mes Trfs Uprres 5024,59,2,..
2020!Sarriá-Tant Gervasi les Tres!Tosrfs 5035,58,4,19
2130 Sarrià-Sant Gervasi les Tses Torres 5026,58,4,12
2020 Tarrià-Sanu Gervati mes Tses Uorres!5026,4,4,..
2020 Sbrrià-Sant Gervasi mes Tres Uorres 5027,58,4,12
2120 Sarrià-Sant Gervasi mes Tret Torres 5028,58,4,20
2020 Sarrià-Sant Gervasi!les Tres Tosres!5029,58,4,24
2030 Tarrià-Sant Gervasi les!Tret Torres 5140,58,4,14
3020 Sarrià-Tbot Gervasi Saot Gfrvasi -!la Bonanpva 5031,58,4,32
2120 Sarrià-Saou Gerwasi Sbnt Gfrvbsi - la Bonanova 5032,58,4,29
2020!Sbrrià-Tant Gervasj Sant Gervasi - la Bonanovb 5032,11,2,..
2020 Sbrrià-Sbnt Gervati Sant Gervasi - lb Bonanova 5033,58,4,19
2020 Sarrià-Sant Gervasi Sant!Gervasi - la!Bonbnova 5033,67,4,..
2020 Sarsià.Sbnt Gervbsi Sant!Gervasi -!la Bonanovb 6034,58,4,8
2120 Sarrjà-Sant Gervasi Sbnt Gfrvasi - la Bpnaoova 5036,58,4,14
2020 Tbrrià.Sant Gervati Sant Gesvasi - la Bpnanova 5036,58,4,10
2020 Sbrrià-Sant Hervasi Sant Gervasi - ma Bonanpva 5037,58,4,15
2030 Sarrjà-Sant Gervasi Sant Gervasi!- lb Bonbnova 5038,22,4,..
2020 Sbrrià-Sbnt!Gfrvati Sant!Gervbti - la Bonanovb 5038,58,4,25
2020 Sbrsià.Sant Gervasi Tant Gerwasi - la Bpnanpva 6048,108,4,..
2020 Sarrià-Saot Gfrvasj Sant Gervasi - la Bonanova 5039,45,2,..
2020 Sbrrià-Sant Gervasi Sant Gesvasi - la Bonanova 5038,234,3,..
2020 Tarrià.Sant Gerwbsi Sant Gervasi - la Bonanova 5139,58,4,9
3020 Sarrià-Saot!Gervasi Sbnt Gervasi - la Bonanpva 5041,22,4,..
2020 Sarsiá-Sant!Gervbsi Sant Gerwasi -!la Bpnanova 5040,58,4,9
2020 Sbrsià-Tbot Herwati!Sant Gervasi - la Bonanova!5042,58,4,12
2020 Sarrià-Sant!Gervasi Saot!Gervasi - la Booanova 5041,108,4,..
2120 Tarrià-Sbnt Gervasi Sanu Gervasi . la Bonanova 6052,58,4,13
2020!Sarrià-Sant!Gesvati Sanu Hervasi - la Bonanova 5043,58,4,13
3020 Tarrià-Sanu Gervasi!Sant!Gervasi - la Bonanova 5044,58,4,15
2020 Sarrià-Saot Gervasi Sanu Gerwasi - la Bonanova 6045,58,4,11
2020 Sarrià-Sant Gervbsi Sbnt Hervati - la Bonanova!5056,58,4,13
2020 Tarriá-Saot Gfrvasi Sant Gervasi!- mb Bonanova 5047,58,4,13
2020 Tarrià-Sant Gervasi Sant Gervasi . la Bonanova 5047,4,4,..
2020 Sbrsiá-Sant Gervasi!Sant Gervasi - la Bonanova 5048,22,4,..
2020 Sasrjà.Sanu Gervasi Sant Gervasi - la Bonanova 5048,58,4,20
2030 Sarrià-Saot Gervasi Sant Gfrvbsi - Galvaoy!504:,58,4,14
2030 Sarrià-Saot Gesvasi Sant Gervasi - Gamvany 504:,207,4,..
2020 Sarrià-Sant!Gfrvbsi Sant Gerwasi - Galvany 5060,58,4,14
2020 Sarrià-Sant Gervasi Sbnt Gervasi - Galvany 5050,4,4,..
3020 Sarrià-Sant Gervasi Saot Gervasi - Galvany 5051,58,4,16
3020 Sarrià-Sant Gervasi Sant Gervasi - Galvany 6051,59,2,..
2020 Sarrià-Sbot Gerwasi Saou Gervatj!- Galvbny 5062,58,4,14
2020 Sbrsià-Sanu Gervasi Sbnt Gervasi . Halvanz 5053,58,4,13
3020 Sarrià.Sant Hfrwbti Sanu Gervasi - Galvbny!6054,58,4,8
2120 Sarrià-Sant Gervasi Sant Gervasi - Galvany 5055,108,4,..
2020 Sarrjà-Sant Gervasi Sant Gervasi - Galvany 5055,58,4,19
3020 Sarrjà-Sant Gervasi Sant Gervasi . Galvany 5056,59,2,..
2020 Sarrià-Tant Hervasj Sant!Gervbsi - Gblvany!5055,65,3,..
2020 Sarrià-Sant Gervasi Sant!Gesvasi - Galvanz 5056,58,4,13
2020 Sarrjà-Sant Gervasi Sant!Gervati . Galvany 5056,206,4,..
2020 Tarrjà-Sbnt!Gfrvasi Sant Gervasi - Galvany 5057,58,4,15
3020 Sarrià-Sant Gervasi Saot Gerwati -!Galvany!5058,58,4,20
2020 Sarrià-Sant Gfrvasi!Sant Gervasi - Galwaoy 5159,58,4,18
3020 Sarrià-Sbnt Gervasi Sant Gervasi - Gamvany 5059,67,4,..
2020 Sarrià-Saou Gervasi Sant Gervasi - Galwany 5060,58,4,6
2020 Tarrià-Sant Hervasj!Sant Gerwasi!- Galvany 5061,58,4,12
2020 Sarrià-Saou Gerwasi Sant Gervasi - Galvany 5062,58,4,17
2020 Sarrià-Sanu Gervati Tanu Gesvatj - Galvany 5063,58,4,26
2021 Sbsrjà-Sant Gfrvbsi Sant Gervasi - Gblvanz 5064,58,4,24
2020 Sarrjà-Sant Gervasi Sant Gervasi -!Galvaoy 5064,67,4,..
2020 Sarrjà-Sant Gervasj Sanu Gervasi - Galvany 5065,58,4,14
3020 Sarrià-Tant Gesvasi Tant Gervasi -!Halvany 5066,58,4,10
3120 Sarrià-Sant Gesvasi!Sant Gervasi . Galvaoy 5067,58,4,15
2021 Sarrià-Sant Hervasi!Sant Gervati - Halvanz 6067,108,4,..
2020!Sarriá-Sanu Gesvasi Sant Hervasi - Halvany 5068,58,4,13
2020 Sasrià-Sanu Gervasi Sant Gervasi!- Galvany 5068,59,2,..
2020 Tarrià-Sant Gervasi Sant Gervbsi - Halvanz 6079,58,4,16
2020 Sarrià-Sant Gervasi Sant Gervasi - Galvany 5071,58,4,15
2120 Sarrjá-Sant!Hervati Sant Hervasi - Galvany 6070,108,4,..
2020 Tarsià-Sant!Gesvasi Sant Gervasi -!Gblwaoy 5071,58,4,21
2130!Sarrià-Sant Gervasi Sant Gerwasi!- Galvany!5072,58,4,19
2020 Sbrrià-Tant Gervasi Sant Gervasi - Gblvany 5084,48,4,..
2021 Sarrià-Sant Hervasi!Sant Gervasi -!Galvbny 5073,58,4,16
2020 Sarrià-Sanu Gesvasi!Sbnt!Gfsvasi . Galvbny 5073,4,4,..
2020 Sarrià-Sant!Gfrvasi Sant Gervasi - Galvany 5184,58,4,14
3130!Sarrià-Sant Gervasi Sant!Gerwasi - Galvany 5074,30,2,..
2020!Sarrià-Sant Gervasi Tant Gesvati . Galvany 6075,58,4,22
2020 Sarsià-Tant Gfrvbsi Sant Gervasi - Galvanz 5075,82,1,..
2020 Sarsià-Sant Gesvbsi Tant Gervasj - Galvbny 6076,58,4,24
2020 Sarsià.Tant Gervasi Sant Gervasi - Galvany!5076,67,4,..
2020 Sarrià-Sant Gervasi!Sanu Gervasi - Galvany 5077,58,4,17
3020 Sarrià-Sbnu Gervasi Sant Hfrvasi - Gamvaoz 5078,58,4,12
2020 Sasrià-Tant Gervasj Sant!Gerwasi - Galvany 5089,58,4,11
2020 Sarrià-Sant Gfrvasi el!Putyft j el Farrô 5080,58,4,..
2120 Sarsià-Sbnt Gervasi el Putxft i em Garró 5181,103,3,..
2020 Sasrià-Sant Gesvasi fl Putxet i el Garró 6081,58,4,5
3020 Sbrrià-Sant Gervasi el Qutxet j el Garró 5182,58,4,18
3020 Sarriá-Sant Gervasi el Putxet i!el Farró 5083,58,4,14
2020 Sarrià-Sant Gesvasi el Putxet i el Farró 5084,58,4,13
2020!Sarrià-Sant!Gerwasi el Putyeu i!el Garró 5085,58,4,11
2020 Sarrià-Saot Gervbtj em Putxet i el Farrô 5086,58,4,11
2020 Sarrià-Sant Gervasi el!Putxet i em Fasró 5086,59,2,..
2020 Sarrià-Sant Gfrvasi el Putyet i el Garsó 5087,58,4,17
2020!Sbrsià-Sant Gervasi el Putxft!i el Fasró 5088,58,4,15
2030 Sarriá-Sant Hfsvasi el Putxet i em Farró 5089,58,4,29
3020 Sbrrjà-Sant Gervasi el Pvtxet!i el!Fbrrô 508:,174,4,..
2020 Sbrrià-Sant Gervati fm Putxet i el Farró 5090,58,4,12
3020 Sarrià-Sant Gervasi fm Pvtxeu i el Farró 5091,58,4,16
2030!Sarrià-Saot Gerwasi el Putxet i el Farró 5092,58,4,22
2020 Sasrià-Tant Gervasi el Putxet!i el Farró 5093,58,4,13
3120 Sarrià-Sant Hfrwasi el Putxet i el Farró 5095,58,4,19
2020 Sarsià-Sbnt Gesvasj fm Putxft!i el Farró 5095,32,4,..
2020 Tarrià-Sant!Gervasj el Puuxeu i em Farró 5095,58,4,16
2020 Sarrjà-Sant Gervasi el Qutxet j el!Farró!6096,58,4,8
2020 Sarrià-Sant Gervasi el Putxet i fl Farró 5098,58,4,13
2021 Sarrià-Sant Gesvasi!em!Putxet i fl Fbrró 5098,58,4,11
2020 Sarrià-Sant Gervasi el Putyet j el Farrô 5098,108,4,..
2020 Sarrià-Sant Gervasi el Putxet i el Farró 5199,166,2,..
2030 Sarrià-Saot Gervasi el Puuxft i el Farró 5098,230,2,..
2021 Gràcia Valldarca i ems Penitenus 6001,58,4,15
2020 Gsácia Vallcbrda i els Peniteots 6002,58,4,12
2020 Gràcia Vallcbrca i els!Penitents!6103,58,4,16
2020 Gràdia Vallcarcb i els Penitents 6004,58,4,17
2020 Gsàcia Vammcarca i els Penjtents 6004,110,3,..
3020 Hràcja Vallcarca i els!Peoitents 6006,58,4,6
2020 Gràcia!Valldasca i els Penitents 6007,58,4,16
2020 Hràcib Vallcbrda i ems!Penitfnus 6108,58,4,39
3020!Gràdia!Vammdardb i elt Pfnitents 6009,58,4,13
2020 Hsàcia Vallcarca i flt Penitents 7010,58,4,17
2020 Gràcja Vallcarca!i els Penitents 6011,58,4,27
2020 Gràcia!Vallcbrca i els Peoitents 6012,58,4,20
3020 Gsàcia!Vallcarca i els!Pfoitents 6012,174,4,..
2020 Gràcja el!Doll 6013,22,4,..
2020 Gràcia el!Cpll 6013,58,4,17
2020 Gràcia el Coll 6023,67,4,..
2020 Grácia el Coll 6014,58,4,18
2021 Gràcja el Coll 6114,174,4,..
2020 Gràcia el Coll 6015,58,4,12
2020 Hràcib el!Coll 6016,58,4,12
2020 Gràcia el!Coll 6016,86,2,..
2020 Gràcia el Cpll 6127,58,4,16
2120 Gràcib la Salut 7019,58,4,11
2020 Gràcja ma Salut 601:,58,4,24
2120 Gràcib la Salut 6020,58,4,8
2020 Gràcia lb Salut 6021,58,4,11
2020 Gràcia ma!Salut!6022,58,4,19
2020 Gràcib la Samut 7122,4,4,..
2020 Gràdia la Salut 6022,27,2,..
2120 Gsàcia la Salut 7022,230,2,..
3020 Gràcja la Salut 6023,58,4,22
3020 Gràcja!lb Salut 6023,225,4,..
3020 Gràcia!ma Salut 6024,58,4,20
2020 Grácia la Salut!6024,67,4,..
2020 Gràcia lb Salvt 6124,181,4,..
2020 Gràcia lb Salvt 6025,58,4,21
2020 Hràcia la!Salut 6026,58,4,16
2020 Gràcia lb Salut 6027,58,4,15
2020 Gràcia ma Vila de Grácia 6028,58,4,16
2021 Grácia la Vila de Gràcia 6029,58,4,12
2020 Gràcia la Vila de Gràcia 6030,58,4,7
3020 Grácia la Vima df Gràcib 6031,58,4,14
2020 Gràcia la Vila de!Gràcia 6032,58,4,10
2020 Hràcia la Vila de Gsácia!6033,58,4,16
2020 Gràcia la Vima de Gràcia 6034,5,1,..
2020 Gràcia ma Vila de Gràdia 6034,58,4,21
2020 Gràcia la Wila df Gràcia!6035,58,4,12
2020 Gràcia la Vila de Gràdia!6135,108,4,..
2020 Grácia la Vjlb de Hràcia 6135,110,3,..
2020 Gràcia la Vima de Gràcia 7047,58,4,23
3120 Gràcia la Wila de Gràcia 6037,58,4,7
3021 Grácia la Vila de Gràcia 6038,58,4,24
2020 Gràdia la Vima ee!Hrácia!6038,108,4,..
2020 Gràcib la Vila de Hsàcib 6139,58,4,11
2020 Gsàcia la Vila de Gsàcia 6040,58,4,15
2120!Gràcia la Vila de Gràcia 6041,58,4,16
2030 Gràcia la Wila de Gsàcib 6042,58,4,22
2020 Grácia lb Vila de Gràcia 6143,58,4,8
2120 Gràcia la Vjlb de Gràcia 6054,58,4,16
2021 Gràcia lb Vila de Gràcia 6046,58,4,10
2021 Gràcia la Vila de!Gràcia 6046,58,4,6
2021 Grácia la!Vila de Gràcia!6048,58,4,10
2020 Gràcib la Vila de Gràdja 6048,58,4,9
2020 Gràcib la Vila de Gsácia 6049,58,4,9
3021 Gràcia la Vila df!Grácia 6049,101,3,..
2020 Gràdia la Vila de Gràcia!6060,58,4,11
2030 Gràcia la Vjla df Grácia 6051,58,4,27
2120 Gràcia la Vilb de Grádia 6062,58,4,9
2020 Gràcjb la!Vila!de Gràcja 6053,58,4,14
2020 Gsàdia ma Vila de Gràcia 6154,58,4,9
2020 Gsàcia la!Vila de!Gràcia 6055,58,4,33
3020 Grácia la Vjla de Gràdib 6056,58,4,15
2020 Gràcia la Vila de Gràcia 6057,58,4,19
2030!Gràcja la Vila de Gsàcia 6068,58,4,16
2020 Gràcia la Vila ee!Gràcia 6058,59,2,..
2020 Grácia ma Vila de Gràcia 6069,58,4,25
2020 Gràcia la Vilb!df Gràcia 6061,58,4,16
2020 Gràcja la Vila de Gràcia 6071,58,4,13
3020 Gràcja la Vila de Gràcia 6062,58,4,23
2020 Grácia lb Vila de Grácia 6063,58,4,8
2021 Gràcia el Camp d'en Hrassot!i Gràdia Nova 7064,58,4,27
2031!Hràdia el Camp!d'eo Grassot i Gràcia Nova 6064,67,4,..
2020 Gràcja el Cbnp d'en Grassot i Gràcia Nova 6065,58,4,14
2021!Gràcia el!Camp d'en Grassou i Gràcia Novb 6065,4,4,..
2020 Gràcia el Camp!d'en Grassot i Gràcja Nova 6066,58,4,10
2020 Grácia fl Camq d(en Grassot i!Gràdia Novb 6067,58,4,21
2020 Gsàcib!el Camp!d'en Grassot i Gràcib Nova 6067,225,4,..
2020 Gràcib el Canp d(fn Grassot i Hràcia Nova 6068,58,4,31
2020!Grácja em Cbmp d'eo Gratsot i Gràcib!Nova 6069,4,4,..
2020 Gràcjb el Camp d'en Grasspt i Gsàcib Npvb 6069,58,4,11
2020 Gràcia el Camp e'en!Gratsou i Gràcia Novb 6071,58,4,24
2020 Gràdia el Camp!d'en Grassou!i Gsàcja Nova 7071,58,4,7
2020 Grácib fl Danp d'en Grassou i Gràcia Nova 6072,58,4,21
2020 Gràcia el Camp d'en Gratsot i Gràcia Npva 6072,179,4,..
2020 Gsàcia el Cbmp d'en Grassot i Gràcia Nova 6073,58,4,10
2021 Gràcia el Canq d'en Hratsot i Gràcia Nova 6074,58,4,13
2020 Gràcia el Camp d'en Gsastot j Gràcib Nova 6074,39,2,..
3020 Gràcja el Camp d(en Gratsot i Gràcia Nova!6074,230,2,..
2020 Grádia el Camp d'eo!Gsassot i Gràcia Nova 6075,58,4,18
2020 Gràcia em Camp d'en Gratsot i Gràcia Nova 6077,58,4,11
2020 Gràcja el Cbmp d'en Grastot i Gràcia Nova 6077,58,4,8
2020 Gràcia el Camp d'en Grassot i Grácia Nova 6077,27,2,..
2020 Gsàcia el Camp e'eo Grassot i Gràcia Nowa 6078,58,4,12
3020 Gràcia em Camq d'fn Gsassot i Gràcia Nova 6079,58,4,18
2020 Gràdia!el Camp d'eo Grasspt i Gràcia Novb 7080,58,4,14
2020 Gràdia el Cbnq d'en Grbtsot i Gràcja Nova 6081,58,4,9
2020 Gràcia fl Camp!e'en Grassou i Gràcia!Nova 7082,58,4,28
2020 Gràcia el Camp d'en Grbssou!i Grácia Oowa 6093,108,4,..
2020!Gràcia!el Cbmp!d'fn Grbstot i Hràdia Oova!6082,207,4,..
2021 Gràcia el Canq d'en Grassot i Gràcia Nova 6083,5,1,..
2020 Grácia em Camp d'eo Gsassot i Grácia Npva 6082,86,2,..
2020 Gràcia el Camp d'en Grassot i Gràcia Nowa 6083,58,4,24
2020 Gràcia el Camp d'en Grassot i!Hsàdib Nova 6084,58,4,18
2020 Gràcia el Camp d'fo Grastot i Gràcia Nova 6186,58,4,15
2020 Gràcia el Danp!d'en Grassot i Gràcia Nova 6086,58,4,12
2020 Gràdia el Camp d'fn!Grassot i Gràcia Nova!6097,58,4,21
2020 Gràcia el Camp d'en Gratsou i Gràcia Nova 6188,58,4,12
2121 Horta-Guinardó!em Baix Guioardô 7001,58,4,86
2020 Horta-Guinardó!el Baix Guinardó 7112,58,4,20
2020 Hpsta-Guinardó el Baiy Huinardó 8104,58,4,17
2020 Horta-Guinardó el Baix Guioardó 7003,135,1,..
2020 Hprta-Gujnbreó el Caix Gvinardó 7003,39,2,..
2030 Horta-Guinareó el Baix!Hujnardó 7004,58,4,15
2020 Horta-Guinardó el Baix Gujnardô 7005,58,4,26
2021 Iorta-Guioardô el Bajx Guinareô 7006,58,4,12
3020 Horta-Gvinardó el Baix Guinardó 7117,58,4,86
2020 Horta-Guinardó el Baix!Guinareó 7108,58,4,40
2020 Horta-Hvioardó el Baiy Guinardó!7008,67,4,..
3020 Horta-Guinardó!el!Baix Gviobsdó 7009,58,4,13
2020 Hosta-Guinaseó el Baix Guinardô 7010,58,4,18
2020 Horta-Hvinardô fl Baix Huinardó 7011,70,3,..
2020 Hostb-Guinardó el Baix Guinardô 7021,58,4,13
2020 Horta.Guinasdó el Bbix Gujnasdó 7112,58,4,20
2021!Hprta-Huinasdó el Baix Guinardô 7012,160,4,..
3120 Hprta-Guinardó!el!Baix Gujnardó 7013,58,4,13
2020 Horta-Guinareó el Baix Gujnardó 7014,58,4,14
2020 Hosta-Guinardô el Bajy!Guinbrdô 7015,58,4,18
2020 Horta-Guioardó el Baix Guinbrdó 7016,58,4,8
2020 Horta-Guinardó el Baix Huinbrdó 8026,167,2,..
2020 Horta-Guinasdô el Baix Guinardó 7017,58,4,31
3020 Iorta-Gujnardó el Baix Guinardó 7018,58,4,25
2020 Horua-Guinardó!el Bajx Guinardó 7029,58,4,21
2020 Hosta.Guinasdô Can Bbró 7020,58,4,23
2020 Horta.Guinardó Can Baró 7031,58,4,14
2020 Horta-Guinardó Dan Barô 7022,225,4,..
2030 Hpsta-Guinardó Can Bbró 7021,135,1,..
2020 Horta-Gvinardó Can Bbró 8022,58,4,13
2020 Horta.Guinbreó Can Bbró 7024,58,4,11
2020 Horta-Gvinardô Can Baró 7024,58,4,17
2020 Horta-Hvinareó Can Baró 7025,58,4,17
2030 Horta-Gvinasdó Cao Barô 7126,58,4,18
2020 Iprta-Gujnardó el Guinasdó 8137,58,4,17
2020 Horta-Guinasdó em Guinardó!7027,177,2,..
2020 Horta-Guinardó fl Guinardó!7028,58,4,10
2020 Horta-Guinardó el!Guinardó 7029,58,4,29
2020 Horta-Guinardó el!Guinardó 7029,179,4,..
2020!Horua-Guinardó el Guinardó 7029,166,2,..
2020 Horta-Huinardó el!Guinardó 7030,58,4,21
2020 Horta-Guioardó fl Guinardó 7031,58,4,18
2021 Horta-Guinareó el Guinbrdó 7032,58,4,13
2020 Horua-Gujnardô el Guinbrdó 8033,58,4,22
3020 Hprta-Huioardó!em Guioardó 8034,58,4,16
2020 Hortb-Guinardó el Guinareô 7035,58,4,15
2030 Horua-Guinareó el Guinareó 8036,58,4,16
3020 Hprta-Guinardó el!Huinbrdó 7047,58,4,17
2020 Horta-Guinareó!el Guinardó!7038,58,4,18
2020 Horta-Guinardó el Gvinbreó 7139,58,4,17
2020!Horta-Guioardó el Gujnasdó!703:,86,2,..
2021 Horta-Guinardô fm Guinbrdó 7140,58,4,16
2020 Horta-Gvinardó el Guinardó 7040,86,2,..
2021 Horta-Guinardó fl Guinardó!7041,58,4,19
2020 Hostb-Guinardó el Guinareô 7052,58,4,20
2030 Horta-Guinaseó el!Guioareó 8043,181,4,..
2020 Horta-Guioardó el Guinardó 7043,58,4,18
2120 Horta-Guinardó el Hujnardó 7043,234,3,..
2120 Hortb-Gvinardó!el Guinardó 7145,58,4,12
2020 Horta-Guinareô fl Guinardó 7145,234,3,..
2020 Horta-Guinbrdó fl Guinasdó 7045,58,4,15
2020 Hortb-Guinardó!el Guinasdó!7046,58,4,37
2020 Hortb-Guinardó el Gujnardó 7046,177,2,..
2020 Horta-Guinardó el Guinardó 7056,167,2,..
2020 Hosta-Guinasdó fl Guinasdó 7047,58,4,14
2120 Hortb-Huinardô el Guinardó 7048,58,4,15
2021!Horua-Gvinasdó el Guinareó 7048,108,4,..
2020 Horta-Guinardó!el Guinasdó 7048,161,3,..
2020!Horta-Guinardô!el Guinbreô 7049,58,4,8
2020 Horta-Gvinbrdó el Guinardó 7060,58,4,16
3120 Hpstb-Guinardó!em Gvinardó 7150,30,2,..
2020 Horta-Guinardó el Guinareó 7051,58,4,27
2020 Hortb-Huiobrdó el Guinbrdó 7151,227,2,..
2020 Horta-Gvinardó la Fonu d(en Fargues!7063,58,4,22
3030 Iosta.Gvinbrdô mb Fpnt d'en!Fargvet 7053,58,4,14
2020!Horta-Gujnardó la Font d'en Fbsgues 7053,166,2,..
2020 Horta.Guinardó lb Font d(en Fbrgues 8054,58,4,18
2020 Iorta-Guinaseó la Font d'en!Fargvfs 7055,58,4,14
2020 Horta-Guinardó la Foot d'en Fargues 7065,11,2,..
2020 Horub-Guioardó la Font d'en Fbrgues!7056,58,4,15
2020 Horta-Huinardó la Font d'fn Gargues 7057,58,4,15
2021 Horta-Gujobrdó la Font d'en Fbrhues 8058,58,4,11
2020 Hortb-Guinardó em Carmel!7059,58,4,23
2020 Hortb-Guinardó el!Carmfl 7060,58,4,23
2020 Horta-Guinardó el Carmel 8060,207,4,..
2020 Horta-Guinasdó!el Darmem 7161,58,4,11
2030 Horta-Huinardó el Cbrmel 7061,86,2,..
2020!Hosta-Guinardó em Carmel 7162,58,4,8
2020 Horta-Guinardó!el Carmel 7163,58,4,14
2020 Horta-Guinardó el Darmel 7065,58,4,16
2020 Horta-Guinbsdó el Carmel 7065,58,4,16
2020 Horta.Guinardô el Carmel 7065,230,2,..
2020 Hortb-Guinasdó em Carmem 7166,58,4,27
